name,company,model,edition,year,owner,fuel,seller_type,transmission,km_driven,mileage_mpg,engine_cc,max_power_bhp,torque_nm,seats,selling_price
Chevrolet Beat LT,Chevrolet,Beat,LT,2015,First,Petrol,Individual,Manual,23500,43.72,1199.0,76.8,106.5,5.0,250000
Honda City i-DTEC VX,Honda,City,i-DTEC VX,2017,First,Diesel,Individual,Manual,82000,60.16,1498.0,97.9,200.0,5.0,975000
Toyota Innova 2.5 G (Diesel) 8 Seater,Toyota,Innova,2.5 G (Diesel) 8 Seater,2014,Second,Diesel,Individual,Manual,100000,30.53,2494.0,100.6,200.0,8.0,900000
Hyundai i20 1.2 Spotz,Hyundai,i20,1.2 Spotz,2018,First,Petrol,Individual,Manual,15000,43.72,1197.0,81.83,114.7,5.0,610000
Maruti Baleno Zeta 1.3,Maruti,Baleno,Zeta 1.3,2017,First,Diesel,Individual,Manual,30000,64.4,1248.0,74.0,190.0,5.0,620000
Hyundai Grand i10 Sportz,Hyundai,Grand,i10 Sportz,2016,First,Petrol,Individual,Manual,30000,44.4,1197.0,82.0,114.0,5.0,400000
Maruti Celerio X ZXI BSIV,Maruti,Celerio,X ZXI BSIV,2019,First,Petrol,Individual,Manual,11000,50.84,998.0,67.0,90.0,5.0,500000
Datsun GO Plus T,Datsun,GO,Plus T,2017,First,Petrol,Individual,Manual,140000,44.7,1198.0,67.05,104.0,7.0,200000
Tata Zest Quadrajet 1.3 XM,Tata,Zest,Quadrajet 1.3 XM,2016,First,Diesel,Individual,Manual,110000,54.06,1248.0,88.7,200.0,5.0,360000
Maruti Alto K10 2010-2014 VXI,Maruti,Alto,K10 2010-2014 VXI,2012,First,Petrol,Individual,Manual,48000,49.16,998.0,67.1,90.0,5.0,252000
Maruti Swift VDI,Maruti,Swift,VDI,2012,Second,Diesel,Individual,Manual,70000,53.8,1248.0,74.0,190.0,5.0,280000
Maruti Swift VXI 2018,Maruti,Swift,VXI 2018,2018,Second,Petrol,Individual,Manual,70000,51.7,1197.0,81.8,113.0,5.0,509999
Mahindra Scorpio 1.99 S6 Plus,Mahindra,Scorpio,1.99 S6 Plus,2016,First,Diesel,Individual,Manual,58000,36.2,1997.0,120.0,280.0,7.0,1050000
Maruti Wagon R LXI DUO BSIII,Maruti,Wagon,R LXI DUO BSIII,2010,Fourth & Above,LPG,Individual,Manual,40000,0.02768,1061.0,57.5,76.49186999999999,5.0,200000
Maruti Zen LXI,Maruti,Zen,LXI,2005,Second,Petrol,Individual,Manual,90000,40.66,993.0,60.0,78.0,5.0,60000
Mahindra Xylo E8 ABS Airbag,Mahindra,Xylo,E8 ABS Airbag,2010,Second,Diesel,Individual,Manual,40000,32.9,2498.0,112.0,260.0,7.0,320000
Mahindra Scorpio LX,Mahindra,Scorpio,LX,2013,First,Diesel,Individual,Manual,110000,28.31,2179.0,120.0,290.0,9.0,520000
Tata New Safari DICOR 2.2 LX 4x2,Tata,New,Safari DICOR 2.2 LX 4x2,2007,Second,Diesel,Individual,Manual,80000,27.19,2179.0,138.1,320.0,7.0,250000
Maruti Vitara Brezza ZDi,Maruti,Vitara,Brezza ZDi,2017,First,Diesel,Individual,Manual,60000,57.1,1248.0,88.5,200.0,5.0,725000
Mahindra Bolero 2011-2019 SLX,Mahindra,Bolero,2011-2019 SLX,2015,First,Diesel,Individual,Manual,50000,37.5,2523.0,62.1,195.0,7.0,585000
Tata Tiago 1.2 Revotron XZ,Tata,Tiago,1.2 Revotron XZ,2017,First,Petrol,Individual,Manual,25000,56.03,1199.0,84.0,114.0,5.0,430000
Maruti Swift VDI,Maruti,Swift,VDI,2011,Second,Diesel,Individual,Manual,100000,53.8,1248.0,74.0,190.0,5.0,235000
Maruti Swift Dzire VDi,Maruti,Swift,Dzire VDi,2012,Third,Diesel,Individual,Manual,52000,45.34,1248.0,73.9,190.0,5.0,350000
Hyundai i10 Era 1.1,Hyundai,i10,Era 1.1,2010,Third,Petrol,Individual,Manual,80000,46.56,1086.0,68.05,99.04,5.0,131000
Honda Amaze VX i-DTEC,Honda,Amaze,VX i-DTEC,2016,First,Diesel,Individual,Manual,85000,60.62,1498.0,98.6,200.0,5.0,450000
Maruti Vitara Brezza ZDi Plus,Maruti,Vitara,Brezza ZDi Plus,2016,First,Diesel,Individual,Manual,83000,57.1,1248.0,88.5,200.0,5.0,750000
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2013,First,Petrol,Individual,Manual,50000,53.44,796.0,47.3,69.0,5.0,200000
Maruti Wagon R LXI Minor,Maruti,Wagon,R LXI Minor,2009,Fourth & Above,Petrol,Individual,Manual,120000,44.4,1061.0,67.0,84.0,5.0,125000
Mahindra Bolero 2011-2019 SLE,Mahindra,Bolero,2011-2019 SLE,2014,First,Diesel,Individual,Manual,100000,37.5,2523.0,62.1,195.0,7.0,500000
Maruti Swift VDI,Maruti,Swift,VDI,2012,Third,Diesel,Individual,Manual,70000,53.8,1248.0,74.0,190.0,5.0,380000
Maruti Alto LXi,Maruti,Alto,LXi,2008,First,Petrol,Individual,Manual,19000,46.28,796.0,46.3,62.0,5.0,128000
Honda City 1.5 S MT,Honda,City,1.5 S MT,2009,Third,Petrol,Individual,Manual,68600,39.94,1497.0,118.0,146.0,5.0,250000
Mahindra Bolero Power Plus SLX,Mahindra,Bolero,Power Plus SLX,2017,First,Diesel,Individual,Manual,60000,38.78,1493.0,70.0,195.0,7.0,690000
Mahindra Bolero 2011-2019 SLX,Mahindra,Bolero,2011-2019 SLX,2014,Second,Diesel,Individual,Manual,65000,37.5,2523.0,62.1,195.0,7.0,650000
Honda City E,Honda,City,E,2012,Second,Petrol,Individual,Manual,40000,39.47,1497.0,116.3,146.0,5.0,560000
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),Tata,Indica,Vista Aqua 1.3 Quadrajet (ABS),2012,Second,Diesel,Individual,Manual,160000,,,,,,120000
Maruti Celerio VXI,Maruti,Celerio,VXI,2016,First,Petrol,Individual,Manual,25000,54.28,998.0,67.04,90.0,5.0,400000
Maruti Alto K10 LXI,Maruti,Alto,K10 LXI,2012,First,Petrol,Individual,Manual,29500,49.16,998.0,67.1,90.0,5.0,200000
Hyundai Verna VTVT 1.6 SX,Hyundai,Verna,VTVT 1.6 SX,2018,First,Petrol,Individual,Manual,13887,39.94,1591.0,121.3,151.0,5.0,950000
Maruti Alto 800 VXI,Maruti,Alto,800 VXI,2016,Second,Petrol,Individual,Manual,50000,53.44,796.0,47.3,69.0,5.0,300000
Renault KWID RXL,Renault,KWID,RXL,2016,Second,Petrol,Individual,Manual,30000,59.16,799.0,53.3,72.0,5.0,315000
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2012,First,Petrol,Individual,Manual,100000,53.44,796.0,47.3,69.0,5.0,220000
Chevrolet Aveo 1.4 LS,Chevrolet,Aveo,1.4 LS,2011,Second,Petrol,Individual,Manual,60000,34.06,1399.0,92.7,127.0,5.0,130000
Hyundai i20 Sportz Option 1.4 CRDi,Hyundai,i20,Sportz Option 1.4 CRDi,2016,Second,Diesel,Individual,Manual,60000,52.97,1396.0,88.73,219.7,5.0,595000
Tata Indica Vista TDI LS,Tata,Indica,Vista TDI LS,2011,First,Diesel,Individual,Manual,120000,45.6,1405.0,70.0,135.4,5.0,110000
Ford EcoSport 1.5 Petrol Ambiente BSIV,Ford,EcoSport,1.5 Petrol Ambiente BSIV,2017,First,Petrol,Individual,Manual,13500,39.94,1497.0,121.36,150.0,5.0,680000
Fiat Grande Punto Active (Diesel),Fiat,Grande,Punto Active (Diesel),2013,First,Diesel,Individual,Manual,52000,47.72,1248.0,75.0,197.0,5.0,280000
Maruti Baleno Delta 1.2,Maruti,Baleno,Delta 1.2,2017,Second,Petrol,Individual,Manual,30000,50.28,1197.0,83.1,115.0,5.0,530000
Hyundai Xcent 1.2 Kappa SX Option,Hyundai,Xcent,1.2 Kappa SX Option,2017,First,Petrol,Individual,Manual,14000,44.88,1197.0,82.0,114.0,5.0,610000
Tata Aria Pure LX 4x2,Tata,Aria,Pure LX 4x2,2014,Second,Diesel,Individual,Manual,90000,35.38,2179.0,147.9,320.0,7.0,500000
Tata Tigor 1.05 Revotorq XM,Tata,Tigor,1.05 Revotorq XM,2018,First,Diesel,Individual,Manual,50000,58.03,1047.0,69.0,140.0,5.0,500000
Mahindra Xylo D2,Mahindra,Xylo,D2,2010,Second,Diesel,Individual,Manual,120000,30.55,2489.0,95.0,220.0,8.0,250000
Hyundai EON Magna Plus,Hyundai,EON,Magna Plus,2018,First,Petrol,Individual,Manual,10000,49.6,814.0,55.2,74.5,5.0,325000
Maruti Baleno Delta 1.2,Maruti,Baleno,Delta 1.2,2018,First,Petrol,Individual,Manual,10000,50.28,1197.0,83.1,115.0,5.0,550000
Maruti Ciaz 1.4 Alpha,Maruti,Ciaz,1.4 Alpha,2018,First,Petrol,Individual,Manual,25000,48.72,1373.0,91.1,130.0,5.0,720000
Hyundai Verna VTVT 1.6 SX,Hyundai,Verna,VTVT 1.6 SX,2017,First,Petrol,Individual,Manual,20000,39.94,1591.0,121.3,151.0,5.0,950000
Maruti Swift VDI,Maruti,Swift,VDI,2013,First,Diesel,Individual,Manual,60000,53.8,1248.0,74.0,190.0,5.0,350000
Hyundai Grand i10 1.2 Kappa Sportz Option,Hyundai,Grand,i10 1.2 Kappa Sportz Option,2018,First,Petrol,Individual,Manual,40000,44.4,1197.0,81.86,113.75,5.0,500000
Maruti Swift Dzire VDi,Maruti,Swift,Dzire VDi,2012,First,Diesel,Individual,Manual,60000,45.34,1248.0,73.9,190.0,5.0,380000
Hyundai Xcent 1.2 Kappa AT SX Option,Hyundai,Xcent,1.2 Kappa AT SX Option,2015,First,Petrol,Individual,Automatic,50000,39.72,1197.0,82.0,114.0,5.0,380000
Hyundai Verna VTVT 1.6 SX,Hyundai,Verna,VTVT 1.6 SX,2017,First,Petrol,Individual,Manual,20000,39.94,1591.0,121.3,151.0,5.0,900000
Maruti Alto 800 VXI,Maruti,Alto,800 VXI,2017,First,Petrol,Individual,Manual,35000,58.03,796.0,47.3,69.0,5.0,295000
Maruti Ciaz VDi Plus SHVS,Maruti,Ciaz,VDi Plus SHVS,2016,First,Diesel,Individual,Manual,40000,66.0,1248.0,88.5,200.0,5.0,640000
Tata Nexon 1.5 Revotorq XZ Plus,Tata,Nexon,1.5 Revotorq XZ Plus,2018,First,Diesel,Individual,Manual,60000,50.53,1497.0,108.5,260.0,5.0,790000
Hyundai Verna 1.6 VTVT S Option,Hyundai,Verna,1.6 VTVT S Option,2015,First,Petrol,Individual,Manual,20000,39.97,1591.0,121.4,154.9,5.0,625000
Ford EcoSport 1.5 Petrol Trend BSIV,Ford,EcoSport,1.5 Petrol Trend BSIV,2017,Second,Petrol,Individual,Manual,30000,39.94,1497.0,121.36,150.0,5.0,604000
Maruti Alto K10 VXI,Maruti,Alto,K10 VXI,2015,First,Petrol,Individual,Manual,29000,56.28,998.0,67.05,90.0,5.0,315000
Mahindra XUV300 W6 Diesel BSIV,Mahindra,XUV300,W6 Diesel BSIV,2019,First,Diesel,Individual,Manual,17000,47.0,1497.0,115.0,300.0,5.0,950000
Maruti Wagon R VXI Plus Optional,Maruti,Wagon,R VXI Plus Optional,2017,First,Petrol,Individual,Manual,50000,48.2,998.0,67.04,90.0,5.0,400000
Hyundai i20 1.4 Magna AT,Hyundai,i20,1.4 Magna AT,2018,First,Petrol,Individual,Automatic,42000,43.72,1368.0,98.63,132.3,5.0,700000
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Toyota,Innova,2.5 G (Diesel) 8 Seater BS IV,2011,Second,Diesel,Individual,Manual,120000,30.08,2494.0,102.0,200.05565999999996,8.0,700000
Mahindra Verito 1.5 D4 BSIV,Mahindra,Verito,1.5 D4 BSIV,2012,First,Diesel,Individual,Manual,110000,49.4,1461.0,65.0,160.0,5.0,260000
Tata Indigo CR4,Tata,Indigo,CR4,2012,First,Diesel,Individual,Manual,90000,55.38,1396.0,70.0,140.0,5.0,200000
Maruti Dzire VXI,Maruti,Dzire,VXI,2020,First,Petrol,Individual,Manual,70000,54.66,1197.0,88.5,113.0,5.0,580000
Volkswagen Vento IPL II Diesel Trendline,Volkswagen,Vento,IPL II Diesel Trendline,2011,Second,Diesel,Individual,Manual,66000,48.2,1598.0,105.0,250.0,5.0,330000
Hyundai Verna Transform CRDi VGT SX ABS,Hyundai,Verna,Transform CRDi VGT SX ABS,2011,Third,Diesel,Individual,Manual,70000,38.06,1493.0,110.0,235.3596,5.0,400000
Hyundai Creta 1.6 SX Automatic,Hyundai,Creta,1.6 SX Automatic,2018,First,Petrol,Individual,Automatic,5000,34.78,1591.0,121.3,151.0,5.0,1350000
Mahindra Verito 1.5 D4 BSIV,Mahindra,Verito,1.5 D4 BSIV,2014,Second,Diesel,Individual,Manual,50000,49.4,1461.0,65.0,160.0,5.0,250000
Skoda Rapid 1.6 MPI Ambition BSIV,Skoda,Rapid,1.6 MPI Ambition BSIV,2019,First,Petrol,Individual,Manual,25000,36.22,1598.0,103.2,153.0,5.0,725000
Maruti Swift Dzire Tour LDI,Maruti,Swift,Dzire Tour LDI,2013,First,Diesel,Individual,Manual,70000,55.0,1248.0,74.0,190.0,5.0,300000
Maruti 800 AC,Maruti,800,AC,2006,Second,Petrol,Individual,Manual,40000,37.84,796.0,37.0,59.0,4.0,120000
Mahindra XUV500 W10 2WD,Mahindra,XUV500,W10 2WD,2016,First,Diesel,Individual,Manual,110000,37.6,2179.0,140.0,330.0,7.0,1175000
Tata New Safari DICOR 2.2 VX 4x4,Tata,New,Safari DICOR 2.2 VX 4x4,2009,First,Diesel,Individual,Manual,150000,32.75,2179.0,138.0,320.0,7.0,380000
Tata Indica Vista TDI LX,Tata,Indica,Vista TDI LX,2014,First,Diesel,Individual,Manual,45000,44.88,1405.0,70.0,135.4,5.0,400000
Tata Indigo LX,Tata,Indigo,LX,2005,Third,Diesel,Individual,Manual,90000,37.84,1405.0,70.0,132.389775,5.0,140000
Tata New Safari DICOR 2.2 EX 4x2,Tata,New,Safari DICOR 2.2 EX 4x2,2011,Second,Diesel,Individual,Manual,140000,27.19,2179.0,138.1,320.0,7.0,229999
Ford Ikon 1.3 CLXi,Ford,Ikon,1.3 CLXi,2003,Second,Petrol,Individual,Manual,83000,32.44,1299.0,70.0,104.93115499999999,5.0,110000
Volkswagen Jetta 2.0L TDI Highline AT,Volkswagen,Jetta,2.0L TDI Highline AT,2011,Second,Diesel,Individual,Automatic,106000,39.84,1968.0,138.1,320.0,5.0,550000
Chevrolet Aveo U-VA 1.2 LS,Chevrolet,Aveo,U-VA 1.2 LS,2008,Fourth & Above,Petrol,Individual,Manual,60000,35.88,1150.0,74.9,110.0,5.0,150000
Maruti Omni E MPI STD BS IV,Maruti,Omni,E MPI STD BS IV,2017,Second,Petrol,Individual,Manual,40000,39.47,796.0,34.2,59.0,8.0,265000
Hyundai i20 1.2 Asta,Hyundai,i20,1.2 Asta,2011,Third,Petrol,Individual,Manual,138000,39.94,1197.0,80.0,111.79581,5.0,300000
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2015,First,Petrol,Individual,Manual,80000,53.44,796.0,47.3,69.0,5.0,280000
Hyundai Getz GLS,Hyundai,Getz,GLS,2005,Second,Petrol,Individual,Manual,50000,35.97,1341.0,83.0,115.0,5.0,130000
Chevrolet Sail 1.2 LS ABS,Chevrolet,Sail,1.2 LS ABS,2015,First,Petrol,Individual,Manual,50000,42.78,1199.0,82.4,108.5,5.0,350000
Maruti Ritz VXi,Maruti,Ritz,VXi,2009,First,Petrol,Individual,Manual,120000,43.47,1197.0,85.8,114.0,5.0,200000
Maruti Swift VXI,Maruti,Swift,VXI,2018,First,Petrol,Individual,Manual,24400,51.7,1197.0,81.8,113.0,5.0,550000
Mahindra Bolero 2011-2019 SLX,Mahindra,Bolero,2011-2019 SLX,2013,Second,Diesel,Individual,Manual,60000,37.5,2523.0,62.1,195.0,7.0,400000
Maruti Ritz VXi (ABS) BS IV,Maruti,Ritz,VXi (ABS) BS IV,2010,Second,Petrol,Individual,Manual,120000,43.47,1197.0,85.8,114.0,5.0,170000
Hyundai Verna 1.4 CRDi,Hyundai,Verna,1.4 CRDi,2015,Second,Diesel,Individual,Manual,60000,58.28,1396.0,88.7,219.7,5.0,600000
Maruti Alto LXi,Maruti,Alto,LXi,2011,Second,Petrol,Individual,Manual,100000,46.28,796.0,46.3,62.0,5.0,130000
Hyundai Santro Xing GL PLUS CNG,Hyundai,Santro,Xing GL PLUS CNG,2007,Second,CNG,Individual,Manual,60000,,,,,,120000
Maruti 800 AC,Maruti,800,AC,2011,Second,Petrol,Individual,Manual,120000,37.84,796.0,37.0,59.0,4.0,100000
Renault KWID RXT,Renault,KWID,RXT,2016,First,Petrol,Individual,Manual,27500,59.16,799.0,53.3,72.0,5.0,310000
Maruti 800 AC,Maruti,800,AC,2007,First,Petrol,Individual,Manual,10000,37.84,796.0,37.0,59.0,4.0,35000
Hyundai i20 Magna,Hyundai,i20,Magna,2010,Third,Petrol,Individual,Manual,120000,43.47,1197.0,80.0,111.79581,5.0,200000
Maruti Swift VDI BSIV,Maruti,Swift,VDI BSIV,2009,Second,Diesel,Individual,Manual,70000,,,,,,270000
Hyundai i20 Sportz 1.4 CRDi,Hyundai,i20,Sportz 1.4 CRDi,2015,First,Diesel,Individual,Manual,80000,52.97,1396.0,88.73,219.7,5.0,650000
Tata Indigo eCS GLS,Tata,Indigo,eCS GLS,2013,First,Petrol,Individual,Manual,120000,36.75,1193.0,64.1,100.0,5.0,210000
Hyundai Xcent 1.1 CRDi S Option,Hyundai,Xcent,1.1 CRDi S Option,2015,First,Diesel,Individual,Manual,90000,57.34,1120.0,71.01,180.4,5.0,509999
Ford Figo Diesel Celebration Edition,Ford,Figo,Diesel Celebration Edition,2013,First,Diesel,Individual,Manual,70000,47.0,1399.0,68.1,160.0,5.0,229999
Renault Duster 110PS Diesel RxZ,Renault,Duster,110PS Diesel RxZ,2014,Second,Diesel,Individual,Manual,188000,44.7,1461.0,108.45,248.0,5.0,409999
Chevrolet Spark 1.0 LT,Chevrolet,Spark,1.0 LT,2011,First,Petrol,Individual,Manual,67840,42.3,995.0,62.0,90.3,5.0,130000
Tata Nano CX,Tata,Nano,CX,2013,First,Petrol,Individual,Manual,30000,59.7,624.0,37.48,51.0,4.0,95000
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2016,Second,Petrol,Individual,Manual,35000,53.44,796.0,47.3,69.0,5.0,225000
Maruti Swift VDI BSIV,Maruti,Swift,VDI BSIV,2010,Second,Diesel,Individual,Manual,150000,,,,,,256999
Maruti Vitara Brezza VDi Option,Maruti,Vitara,Brezza VDi Option,2017,First,Diesel,Individual,Manual,100000,57.1,1248.0,88.5,200.0,5.0,775000
Maruti Wagon R VXI BS IV,Maruti,Wagon,R VXI BS IV,2017,First,Petrol,Individual,Manual,30000,48.2,998.0,67.04,90.0,5.0,420000
Hyundai Grand i10 Sportz Celebration Edition,Hyundai,Grand,i10 Sportz Celebration Edition,2016,First,Petrol,Individual,Manual,70000,44.4,1197.0,82.0,114.0,5.0,480000
Toyota Qualis GS G1,Toyota,Qualis,GS G1,2003,First,Diesel,Individual,Manual,149032,,,,,,200000
Mahindra Bolero SLE,Mahindra,Bolero,SLE,2010,Second,Diesel,Individual,Manual,380000,31.95,2523.0,63.0,180.0,7.0,260000
Toyota Etios Liva G,Toyota,Etios,Liva G,2011,First,Petrol,Individual,Manual,84050,,,,,,210000
Volkswagen Polo 2015-2019 1.2 MPI Highline Plus,Volkswagen,Polo,2015-2019 1.2 MPI Highline Plus,2018,First,Petrol,Individual,Manual,15000,38.06,1199.0,74.0,110.0,5.0,600000
Ford Ikon 1.4 TDCi DuraTorq,Ford,Ikon,1.4 TDCi DuraTorq,2009,Second,Diesel,Individual,Manual,140000,32.44,1399.0,68.0,160.0,5.0,140000
Maruti Omni 8 Seater BSII,Maruti,Omni,8 Seater BSII,2010,Third,Petrol,Individual,Manual,120000,46.28,796.0,35.0,59.820564999999995,8.0,130000
Maruti Swift VDI BSIV,Maruti,Swift,VDI BSIV,2007,First,Diesel,Dealer,Manual,112880,59.22,1248.0,74.0,190.0,5.0,195000
Tata Indica Vista TDI LS,Tata,Indica,Vista TDI LS,2013,Second,Diesel,Dealer,Manual,135000,45.6,1405.0,70.0,135.4,5.0,210000
Maruti Wagon R LX,Maruti,Wagon,R LX,2006,Third,Petrol,Individual,Manual,80000,44.4,998.0,67.1,90.0,5.0,130000
Chevrolet Beat LT,Chevrolet,Beat,LT,2012,Third,Petrol,Individual,Manual,128000,43.72,1199.0,79.4,108.0,5.0,141000
Mahindra Bolero SLE BSIII,Mahindra,Bolero,SLE BSIII,2011,First,Diesel,Individual,Manual,120000,31.95,2523.0,63.0,180.0,7.0,280000
Maruti SX4 ZXI AT Leather,Maruti,SX4,ZXI AT Leather,2010,First,Petrol,Individual,Automatic,30000,29.61,1586.0,103.2,145.0,5.0,350000
Tata Nexon 1.2 Revotron XM,Tata,Nexon,1.2 Revotron XM,2018,First,Petrol,Individual,Manual,70000,39.94,1198.0,108.5,170.0,5.0,575000
Hyundai i20 Sportz Option 1.2,Hyundai,i20,Sportz Option 1.2,2015,First,Petrol,Individual,Manual,41000,43.72,1197.0,81.83,114.7,5.0,550000
Toyota Etios V,Toyota,Etios,V,2011,First,Petrol,Individual,Manual,28100,,,,,,420000
Maruti Alto LX,Maruti,Alto,LX,2006,Second,Petrol,Individual,Manual,30000,46.28,796.0,46.3,62.0,5.0,120000
Maruti Alto K10 VXI,Maruti,Alto,K10 VXI,2015,First,Petrol,Individual,Manual,30000,56.28,998.0,67.05,90.0,5.0,320000
Hyundai Accent Executive,Hyundai,Accent,Executive,2011,First,Petrol,Individual,Manual,35000,38.44,1495.0,93.7,124.6,5.0,250000
Maruti SX4 Zxi BSIII,Maruti,SX4,Zxi BSIII,2010,First,Petrol,Individual,Manual,22000,35.25,1586.0,104.68,1421.96425,5.0,300000
Maruti Wagon R VXI,Maruti,Wagon,R VXI,2006,First,Petrol,Individual,Manual,70000,44.4,998.0,67.1,90.0,5.0,250000
Maruti Omni E 8 Str STD,Maruti,Omni,E 8 Str STD,2005,Second,Petrol,Individual,Manual,100000,,,,,,120000
Mahindra Bolero 2011-2019 mHAWK D70 ZLX,Mahindra,Bolero,2011-2019 mHAWK D70 ZLX,2018,First,Diesel,Individual,Manual,70000,38.78,1493.0,70.0,195.0,7.0,750000
Mahindra Scorpio 2.6 CRDe,Mahindra,Scorpio,2.6 CRDe,2005,Second,Diesel,Individual,Manual,200000,24.67,2179.0,120.0,290.0,8.0,151000
Tata Safari DICOR 2.2 EX 4x2,Tata,Safari,DICOR 2.2 EX 4x2,2011,First,Diesel,Individual,Manual,120000,32.75,2179.0,138.03,320.0,7.0,300000
Maruti Ignis 1.2 Zeta BSIV,Maruti,Ignis,1.2 Zeta BSIV,2019,First,Petrol,Individual,Manual,3000,49.1,1197.0,81.8,113.0,5.0,577000
Maruti Alto K10 2010-2014 VXI,Maruti,Alto,K10 2010-2014 VXI,2012,First,Petrol,Individual,Manual,50000,49.16,998.0,67.1,90.0,5.0,229999
Mahindra Bolero 2011-2019 ZLX,Mahindra,Bolero,2011-2019 ZLX,2013,First,Diesel,Individual,Manual,50000,37.5,2523.0,62.1,195.0,7.0,500000
Honda Jazz VX CVT,Honda,Jazz,VX CVT,2019,First,Petrol,Individual,Automatic,1500,42.78,1199.0,88.7,110.0,5.0,840000
Volkswagen Vento 1.5 TDI Highline,Volkswagen,Vento,1.5 TDI Highline,2017,First,Diesel,Individual,Manual,74000,52.34,1498.0,108.6,250.0,5.0,900000
Honda Jazz 1.2 V i VTEC,Honda,Jazz,1.2 V i VTEC,2017,First,Petrol,Individual,Manual,25000,43.94,1199.0,88.7,110.0,5.0,650000
Honda Jazz 1.5 VX i DTEC,Honda,Jazz,1.5 VX i DTEC,2016,First,Diesel,Individual,Manual,61915,64.1,1498.0,98.6,200.0,5.0,650000
Hyundai EON Era Plus,Hyundai,EON,Era Plus,2016,First,Petrol,Individual,Manual,110000,49.6,814.0,55.2,74.5,5.0,250000
Volkswagen Polo 1.5 TDI Comfortline,Volkswagen,Polo,1.5 TDI Comfortline,2016,First,Diesel,Individual,Manual,70000,47.34,1498.0,88.0,230.0,5.0,550000
Maruti Swift Ldi BSIII,Maruti,Swift,Ldi BSIII,2007,Fourth & Above,Diesel,Individual,Manual,150000,41.84,1248.0,75.0,190.0,5.0,250000
Mahindra Quanto C4,Mahindra,Quanto,C4,2013,Second,Diesel,Individual,Manual,110000,40.44,1493.0,100.0,240.0,7.0,350000
Chevrolet Beat Diesel LT,Chevrolet,Beat,Diesel LT,2014,Second,Diesel,Individual,Manual,90000,59.78,936.0,56.3,142.5,5.0,185000
Ford Figo Petrol Titanium,Ford,Figo,Petrol Titanium,2010,Third,Petrol,Individual,Manual,120000,36.66,1196.0,70.0,102.0,5.0,229999
Toyota Innova 2.5 G (Diesel) 8 Seater,Toyota,Innova,2.5 G (Diesel) 8 Seater,2016,First,Diesel,Individual,Manual,65000,30.53,2494.0,100.6,200.0,8.0,1000000
Maruti Wagon R VXI 1.2,Maruti,Wagon,R VXI 1.2,2019,First,Petrol,Individual,Manual,10000,48.22,1197.0,81.8,113.0,5.0,490000
Hyundai i10 Sportz,Hyundai,i10,Sportz,2009,Second,Petrol,Individual,Manual,80000,47.84,1197.0,78.9,111.8,5.0,150000
Maruti Ertiga VDI,Maruti,Ertiga,VDI,2013,First,Diesel,Individual,Manual,184000,48.8,1248.0,88.76,200.0,7.0,600000
Maruti Wagon R CNG LXI,Maruti,Wagon,R CNG LXI,2013,Second,CNG,Individual,Manual,80000,0.05203,998.0,58.33,78.0,5.0,270000
Maruti Zen LXi - BS III,Maruti,Zen,LXi - BS III,2005,Second,Petrol,Individual,Manual,70000,40.66,993.0,60.0,78.0,5.0,60000
Maruti SX4 Zxi with Leather BSIII,Maruti,SX4,Zxi with Leather BSIII,2008,Second,Petrol,Individual,Manual,89000,36.66,1586.0,104.68,1421.96425,5.0,150000
Maruti Swift VDI,Maruti,Swift,VDI,2013,Second,Diesel,Individual,Manual,69000,53.8,1248.0,74.0,190.0,5.0,525000
Tata Indica V2 eLX,Tata,Indica,V2 eLX,2012,Second,Diesel,Individual,Manual,90000,58.75,1396.0,69.0,140.0,5.0,83000
Hyundai EON Era Plus,Hyundai,EON,Era Plus,2017,First,Petrol,Individual,Manual,8000,49.6,814.0,55.2,74.5,5.0,300000
Hyundai i20 1.2 Sportz,Hyundai,i20,1.2 Sportz,2012,First,Petrol,Individual,Manual,35000,39.94,1197.0,80.0,111.79581,5.0,350000
Hyundai i20 1.2 Sportz,Hyundai,i20,1.2 Sportz,2011,First,Petrol,Individual,Manual,45000,39.94,1197.0,80.0,111.79581,5.0,300000
Fiat Linea 1.3 Active,Fiat,Linea,1.3 Active,2011,First,Diesel,Individual,Manual,30000,47.94,1248.0,91.2,209.0,5.0,250000
Maruti 800 Std,Maruti,800,Std,2006,Second,Petrol,Individual,Manual,59000,37.84,796.0,37.0,59.0,4.0,114999
Maruti Ertiga VXI Petrol,Maruti,Ertiga,VXI Petrol,2018,First,Petrol,Individual,Manual,6200,45.44,1462.0,103.0,138.0,7.0,700000
Maruti Celerio X ZXI,Maruti,Celerio,X ZXI,2020,Second,Petrol,Individual,Manual,120000,50.84,998.0,67.0,90.0,5.0,250000
Maruti Wagon R LXI BS IV,Maruti,Wagon,R LXI BS IV,2016,First,Petrol,Individual,Manual,70000,48.2,998.0,67.04,90.0,5.0,350000
Maruti Omni 5 Str STD,Maruti,Omni,5 Str STD,1998,First,Petrol,Individual,Manual,70000,32.9,796.0,35.0,59.820564999999995,5.0,80000
